Year,NSW,QLD,VIC,SA,WA,Jun_SOI,Jul_SOI,Aug_SOI,Jun_NiNO3.4,Jul_NiNO3.4,Aug_NiNO3.4,Jun_MEI,Jul_MEI,Aug_MEI,Jun_phase,Jul_phase,Aug_phase,Jan_SOI,Feb_SOI,Mar_SOI,Apr_SOI,May_SOI,Jan_phase,Feb_phase,Mar_phase,Apr_phase,May_phase
1958,9.15,-19.67,38.23,22.34,3.34,-0.4,3.3,7.5,27.99,27.26,27.12,0.812,0.7,0.421,phase4,phase5,phase2,-17.5,-7.1,-2.2,1.3,-9.3,phase3,phase1,phase5,phase5,phase3
1959,30.41,-18.78,2.54,-11.5,-10.84,-5.3,-4,-4,27.36,26.95,26.47,-0.062,-0.112,0.111,phase3,phase5,phase5,-8.9,-15,7,4.3,4,phase1,phase1,phase4,phase2,phase5
1960,5.63,-9.15,51.89,-10.16,-18.18,-2.5,4.5,6.3,27.48,26.98,26.87,-0.287,-0.318,-0.25,phase5,phase4,phase2,0.2,-1.7,4.5,7.2,4.7,phase5,phase5,phase4,phase2,phase2
1961,37.52,16.24,-42.71,-18.99,-25.48,-2.5,-0.4,-0.3,27.79,26.9,26.62,-0.185,-0.208,-0.3,phase5,phase5,phase5,-3.1,5.7,-20.5,7.9,1.8,phase3,phase4,phase3,phase4,phase2
1962,-35.64,-23.08,-20.01,-9.39,-12.31,5.1,-0.4,4.5,27.47,26.92,26.74,-0.87,-0.683,-0.538,phase2,phase5,phase4,16.5,-5.2,-3.1,-0.8,12.1,phase2,phase3,phase5,phase5,phase4
1963,-15.89,-34.37,-31.56,-39.59,-20.94,-10.2,-2.2,-2.8,27.81,27.95,27.78,-0.144,0.404,0.59,phase3,phase4,phase5,8.4,2.7,5.5,7.2,2.5,phase4,phase2,phase5,phase2,phase2
1964,19.9,45.06,69.76,32.76,4.8,5.8,5.1,14.2,26.81,26.58,26.11,-1.15,-1.384,-1.486,phase2,phase2,phase4,-4.1,-2.2,5.5,1.3,6.9,phase1,phase5,phase4,phase5,phase4
1965,-27.18,-54.09,-22.45,-23.6,7.44,-10.9,-21,-10.1,28.14,28.03,28.12,0.867,1.367,1.425,phase3,phase3,phase1,-4.6,1.2,2.1,-10.4,-0.4,phase5,phase4,phase5,phase3,phase4
1966,31.77,-13.51,28.42,-6.44,3.95,0.3,-0.4,4.5,27.82,27.45,26.77,-0.193,-0.116,0.152,phase4,phase5,phase4,-4.6,-4.7,-12.8,-6,-7.8,phase5,phase5,phase3,phase1,phase5
1967,-52.93,-37.46,-101.4,-37.15,-18.56,4.5,0.8,5.7,27.56,27.12,26.57,-0.236,-0.492,-0.391,phase4,phase5,phase4,14.1,12.6,6.5,-3.8,-2.6,phase4,phase2,phase2,phase3,phase5
1968,-60.9,-58.31,-18.2,-16.56,-6.51,10,6.3,0.3,27.87,27.54,27.2,-0.812,-0.503,-0.104,phase2,phase2,phase5,3.6,9.1,-3.6,-3,14.3,phase4,phase4,phase3,phase5,phase4
1969,34.64,-20.23,-15.61,-15.48,-17.72,-1.1,-6.4,-4,27.95,27.32,27.39,0.801,0.49,0.212,phase5,phase5,phase5,-14.2,-7.6,-0.7,-8.2,-5.6,phase3,phase1,phase4,phase3,phase1
1970,51.62,24.64,1.7,7.61,-1.92,8.6,-5.2,3.9,27.38,26.25,25.92,-0.636,-1.055,-1.007,phase4,phase3,phase4,-10.8,-12.1,0.7,-4.5,2.5,phase3,phase1,phase4,phase5,phase4
1971,-18.15,-7.48,54.95,12.49,3.42,1.7,1.4,14.2,26.91,26.59,26.22,-1.42,-1.207,-1.213,phase2,phase5,phase4,2.1,15.5,16.1,19.6,9.2,phase3,phase4,phase2,phase2,phase2
1972,4.76,-1.37,-73.41,-22.82,-15.47,-10.9,-17.3,-8.2,28.35,28.06,28.18,0.966,1.826,1.8,phase1,phase1,phase1,3.1,7.2,1.2,-5.2,-24,phase5,phase2,phase5,phase5,phase3
1973,81.96,100.77,74.86,17.78,26.22,10,5.7,11.8,26.83,26.08,25.66,-0.758,-1.056,-1.334,phase4,phase2,phase2,-3.6,-15,-0.3,-2.3,3.3,phase1,phase3,phase4,phase5,phase4
1974,24.02,8.56,53.37,68.12,37.81,1.7,11.1,6.3,26.99,26.58,26.56,-0.694,-0.75,-0.664,phase2,phase4,phase2,20.3,16,17,9.4,10.6,phase2,phase2,phase2,phase2,phase2
1975,50.99,44.55,118.78,78.83,73.93,12.8,19.6,19.7,26.43,25.99,25.72,-1.148,-1.497,-1.712,phase2,phase2,phase2,-6,4.7,9.4,12.3,6.2,phase5,phase4,phase2,phase2,phase2
1976,43.58,26.4,56.23,38.17,3.55,0.3,-11.9,-11.3,27.69,27.38,27.18,0.276,0.633,0.654,phase5,phase3,phase1,11.2,12.6,10.8,0.6,2.5,phase2,phase2,phase2,phase3,phase5
1977,-59.5,-33.6,-60.48,15.23,-11.08,-15.8,-13.7,-11.3,28.05,27.67,27.13,0.414,0.888,0.684,phase1,phase1,phase1,-4.1,8.6,-9.4,-8.2,-9.3,phase4,phase4,phase3,phase1,phase1
1978,48.82,28.86,46.37,18.73,3.89,4.5,5.1,2.1,27.23,26.75,26.26,-0.605,-0.42,-0.199,phase2,phase5,phase5,-3.6,-26.9,-6,-7.4,15.8,phase1,phase3,phase1,phase5,phase4
1979,-6.95,-19.81,45.01,39.47,-4.2,4.5,13.6,-4.6,27.72,27.02,27.09,0.429,0.396,0.615,phase5,phase4,phase3,-4.6,6.2,-3.6,-5.2,4,phase5,phase4,phase3,phase5,phase4
1980,-71.27,-40.68,-9.41,-11.87,-11.07,-3.9,-1.6,1.5,28.05,27.25,26.65,0.911,0.769,0.329,phase5,phase5,phase5,2.6,0.3,-8.4,-11.8,-2.6,phase4,phase5,phase3,phase1,phase4
1981,-0.37,23.2,-48.71,-8.28,-4.49,12.1,8.1,5.1,27.54,26.79,26.7,-0.024,-0.026,-0.09,phase2,phase2,phase2,2.1,-4.2,-15.6,-5.2,8.4,phase5,phase5,phase3,phase1,phase4
1982,-58.82,-52.22,-103.95,-28.83,18.55,-17.2,-17.9,-22.2,28.61,27.86,27.8,0.93,1.612,1.778,phase3,phase1,phase1,8.8,-0.2,0.7,-2.3,-7.1,phase4,phase3,phase5,phase5,phase5
1983,40.96,27.63,52.11,-8.08,17.78,-3.2,-7,0.9,28.31,27.11,26.75,2.235,1.793,1.159,phase3,phase5,phase4,-31.4,-35.7,-25.7,-15.5,5.5,phase1,phase1,phase1,phase1,phase4
1984,5.26,-3.69,-21.5,1.49,5.05,-8.1,0.8,2.1,26.79,26.82,26.47,-0.049,-0.054,-0.155,phase3,phase4,phase5,0.7,5.2,-6.5,1.3,0.3,phase5,phase4,phase3,phase4,phase5
1985,47.37,61.39,9.75,2.96,-4.63,-8.8,-2.2,8.2,26.93,26.62,26.38,-0.166,-0.126,-0.365,phase3,phase4,phase4,-4.6,6.2,-2.7,12.3,3.3,phase5,phase4,phase3,phase4,phase2
1986,21.02,23.97,23.8,6.6,-5.72,8.6,2,-7,27.61,27.38,27.11,0.279,0.401,0.765,phase4,phase2,phase3,7.4,-12.1,-0.3,0.6,-5.6,phase4,phase3,phase4,phase5,phase5
1987,-32.55,2.6,-58.03,-28.91,-12.72,-17.9,-17.3,-13.1,28.92,28.56,28.36,1.958,1.878,1.973,phase1,phase1,phase1,-7,-14,-16.1,-23.5,-19.6,phase1,phase3,phase1,phase1,phase1
1988,-10.35,-28.91,33.87,-23.8,-2.55,-3.9,10.5,14.2,26.23,25.69,25.43,-0.582,-1.109,-1.295,phase3,phase4,phase2,-1.5,-6.2,1.2,-3,9.9,phase5,phase5,phase4,phase5,phase4
1989,-41.77,50.34,-7.61,-14.35,-20.94,6.1,8.5,-5.6,27.04,26.76,26.29,-0.242,-0.43,-0.494,phase2,phase2,phase3,12.7,8.5,5.5,18.1,15.1,phase2,phase2,phase2,phase4,phase2
1990,-51.8,-55.42,-33.92,-26.09,-10,0,5.2,-4.4,27.69,27.37,27.05,0.511,0.147,0.127,phase3,phase5,phase5,-1.9,-18.4,-8.2,-0.7,13.6,phase5,phase3,phase4,phase4,phase4
1991,-64.73,-37.55,-52.61,-10.98,-8.21,-5.5,-1.5,-6.8,28.34,27.84,27.3,1.051,1.044,1.008,phase5,phase5,phase3,4.2,-0.2,-10.1,-11.5,-17.9,phase5,phase5,phase3,phase1,phase1
1992,42.43,-15.87,138.61,66.74,6.71,-11.9,-6.5,0.8,28.22,27.5,26.73,1.735,1.045,0.559,phase3,phase1,phase5,-26,-10.3,-22.1,-16.5,0.4,phase1,phase1,phase1,phase1,phase4
1993,40.39,2.75,98.76,29.73,-4.39,-14.4,-10.1,-13,28.33,27.55,27.04,1.616,1.204,1.026,phase1,phase1,phase1,-9.2,-8.7,-8.8,-18.5,-7.3,phase1,phase1,phase1,phase3,phase1
1994,-46.18,-32.02,-42.26,-29.96,-19.3,-9.4,-16.7,-15.7,27.96,27.38,27.4,0.803,0.904,0.762,phase1,phase1,phase1,-2.1,0.3,-10,-19.9,-11.6,phase5,phase5,phase3,phase3,phase1
1995,43.95,27.23,0.72,12.42,-6.95,-2.2,4,1.2,27.77,27.26,26.5,0.507,0.234,-0.147,phase5,phase4,phase5,-5.8,-3.3,2.8,-14.4,-8.6,phase1,phase5,phase5,phase3,phase1
1996,6.35,11.11,1.04,-8.05,3.42,10.5,6.6,4.8,27.57,27.08,26.58,0.087,-0.173,-0.374,phase4,phase2,phase2,7.7,0.6,5.2,5.3,1.7,phase4,phase5,phase5,phase5,phase5
1997,8.3,-2.34,-13.25,26.91,0.47,-24.3,-9,-18,28.84,28.83,28.81,2.275,2.825,3.002,phase1,phase1,phase3,3.5,14,-7,-14.3,-19,phase2,phase4,phase3,phase3,phase1
1998,50.15,85.16,33.39,21.65,26,8.2,12.8,9.7,27.3,26.49,26.04,1.336,0.392,-0.336,phase4,phase2,phase2,-22.9,-22.2,-26.1,-22.4,-0.3,phase3,phase1,phase1,phase1,phase4
1999,53.07,62.35,-29.55,17.28,29.26,-0.5,4.4,3.3,26.74,26.39,25.89,-0.339,-0.478,-0.739,phase5,phase4,phase5,14.7,7.1,7.6,16.8,0.9,phase2,phase2,phase2,phase4,phase3
2000,67.82,116.45,54.15,21.37,-1.58,-6.5,-4,4.5,26.93,26.65,26.52,0.001,-0.159,-0.145,phase3,phase5,phase4,3.2,13,7.6,15.4,6,phase2,phase4,phase2,phase2,phase2
2001,-8.56,20.93,19.37,36.97,21.8,2.4,-3.3,-8.3,27.58,27.24,26.8,0.052,0.297,0.332,phase4,phase5,phase5,7.4,12,4.9,1.4,-9.9,phase2,phase2,phase2,phase5,phase3
2002,-75.84,-66.26,-64.68,-18.97,-8.77,-6.8,-7.1,-14.3,28.37,27.8,27.57,0.932,0.712,1.002,phase1,phase5,phase3,2.5,7.1,-5.6,-3.4,-13.8,phase4,phase4,phase3,phase5,phase3
2003,-28.46,-48.26,-24.02,-5.74,12.09,-13.2,3.2,-1.2,27.5,27.37,26.92,0.107,0.177,0.309,phase3,phase4,phase5,-2,-9.3,-6.6,-5.9,-5,phase4,phase3,phase1,phase5,phase5
2004,6.4,-13.01,-6.1,-4.52,-0.8,-13.9,-6.4,-6.7,27.82,27.64,27.54,0.315,0.571,0.617,phase3,phase1,phase5,-12.8,9,0.9,-16.2,13,phase3,phase4,phase2,phase3,phase4
2005,45.51,2.37,9.67,37.99,-2.81,0.5,1.6,-6.5,27.91,27.22,26.83,0.589,0.519,0.343,phase4,phase5,phase3,1.2,-29.5,-1.3,-10.8,-11.7,phase4,phase3,phase4,phase3,phase1
2006,-58.56,-49.04,-107.52,-35.32,20.59,-6.7,-8.6,-14.1,27.78,27.25,27.25,0.526,0.716,0.748,phase1,phase5,phase1,11.8,-0.6,11.4,13,-7.7,phase4,phase3,phase4,phase2,phase3
2007,-15.56,6.73,-45,-17.18,-10.69,5.4,-4.8,1.8,27.52,26.86,26.31,-0.155,-0.248,-0.442,phase4,phase3,phase4,-8.9,-2.8,-1.2,-4.2,-2.5,phase5,phase1,phase5,phase5,phase5
2008,29.87,32.75,-62.63,0.6,27.57,2.9,2.3,8,27.24,27.19,26.83,0.142,0.088,-0.269,phase4,phase5,phase4,12.7,21,10.2,4.4,-3.5,phase2,phase2,phase2,phase2,phase3
2009,-23.34,-35.81,14.29,24.3,-2.86,-2.8,2.1,-3.9,28.17,27.91,27.49,0.751,1.06,1.05,phase5,phase5,phase5,8.2,15.2,-1.3,8,-5,phase2,phase2,phase3,phase4,phase3
2010,134.19,172.96,87.42,85.36,27.81,1.3,18.7,17,27.07,26.34,25.55,-0.228,-1.103,-1.671,phase2,phase4,phase2,-8.3,-18.2,-10.8,12.1,10.5,phase1,phase3,phase1,phase4,phase2
2011,59.15,12.59,3.63,21.73,53.91,0.9,9.1,2.6,27.43,27,26.22,-0.003,-0.193,-0.517,phase5,phase4,phase2,18.1,22.6,17.4,23.9,2.1,phase2,phase2,phase2,phase2,phase3
2012,-56.38,-36.2,-70.49,-34.77,9.39,-10.2,0.1,-6.2,27.82,27.66,27.54,0.842,1.126,0.607,phase3,phase4,phase5,9.6,0.8,2.4,-6.2,-2.4,phase2,phase2,phase5,phase3,phase5
2013,-38.21,-2.82,-24.42,-28.3,11.18,10.5,7.4,-0.2,27.36,26.94,26.59,-0.094,-0.314,-0.481,phase2,phase2,phase5,-0.3,-5.6,8.7,1.3,8,phase4,phase5,phase4,phase2,phase4
2014,-62.28,-42.67,-64.46,-29.08,15.52,-0.8,-4,-10.1,28.16,27.36,27.02,1.046,0.915,0.937,phase5,phase5,phase3,11.2,-1.7,-12,6.4,4.3,phase4,phase3,phase3,phase4,phase2
2015,-18.54,-25.76,-82.99,-21.98,-0.68,-10.3,-13.83,-19.02,28.96,28.78,28.75,2.097,1.981,2.334,phase1,phase1,phase1,-8.7,-0.5,-10.7,-3.1,-13.11,phase1,phase4,phase3,phase1,phase3
2016,57.15,16,78.16,20.26,-8.47,3.72,3.7,4.67,27.75,26.97,26.4,1.053,0.352,0.167,phase5,phase5,phase5,-21.75,-19.06,-6.34,-19.07,2.83,phase3,phase1,phase1,phase3,phase4
2017,-14.11,36.69,-30.55,26.77,14.41,-9.45,6.51,3.5,27.91,27.44,26.69,1.039,0.456,0.009,phase3,phase4,phase2,0.5,-2.24,3.8,-6.31,0.68,phase5,phase5,phase4,phase3,phase4
2018,-5.54,-17.96,-74.61,2.22,7.5,-6.27,1.79,-6.7,27.81,27.49,26.93,0.469,0.076,0.132,phase3,phase4,phase3,8.93,-7.74,8.42,4.02,2.69,phase4,phase3,phase4,phase2,phase5
